City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
puerto del rosario,0.0,ES,1549252800.0,82.0,28.5,-13.86,62.6,20.8
port-cartier,90.0,CA,1549252800.0,71.0,50.03,-66.88,3.2,3.36
bethel,90.0,US,1549253400.0,100.0,60.79,-161.76,28.04,4.7
kahului,75.0,US,1549252560.0,73.0,20.89,-156.47,75.92,11.41
codrington,40.0,AU,1549252800.0,43.0,-28.95,153.24,91.4,12.75
kantunilkin,20.0,MX,1549252020.0,83.0,21.1,-87.49,75.2,6.93
aquiraz,75.0,BR,1549252800.0,88.0,-3.9,-38.39,80.6,4.7
hinton,64.0,CA,1549254985.0,50.0,53.4,-117.57,-20.35,2.93
venezuela,0.0,CU,1549254985.0,100.0,21.74,-78.8,68.71,7.18
bonnyville,90.0,CA,1549252800.0,62.0,54.27,-110.74,-16.61,3.38
mazagao,75.0,BR,1549252800.0,100.0,-0.12,-51.29,77.0,4.7
taoudenni,8.0,ML,1549254986.0,27.0,22.68,-3.98,49.27,16.24
olafsvik,,,,,,,,
port hardy,75.0,CA,1549252800.0,57.0,50.7,-127.42,23.0,11.41
fort nelson,5.0,CA,1549252800.0,67.0,58.81,-122.69,-22.01,4.7
stephenville,1.0,US,1549253700.0,74.0,32.22,-98.2,67.1,9.17
dickson,1.0,US,1549253700.0,81.0,36.08,-87.39,57.02,9.17
vestmannaeyjar,12.0,IS,1549254880.0,100.0,63.44,-20.27,24.7,6.73
pacific grove,1.0,US,1549252500.0,76.0,36.62,-121.92,53.06,9.17
trojes,75.0,AL,1549254000.0,93.0,41.76,19.96,53.6,8.05
hare bay,20.0,CA,1549252800.0,71.0,48.86,-53.99,5.0,16.11
vila franca do campo,75.0,PT,1549252800.0,82.0,37.72,-25.43,62.6,13.87
laguna de perlas,20.0,NI,1549254989.0,100.0,12.34,-83.67,78.02,11.54
touros,40.0,BR,1549252800.0,88.0,-5.2,-35.46,78.8,3.36
havre-saint-pierre,1.0,CA,1549252800.0,65.0,50.23,-63.6,3.2,5.82
wilmington island,90.0,US,1549253760.0,93.0,32.0,-80.97,57.02,4.7
lagoa,0.0,PT,1549252800.0,83.0,37.14,-8.45,44.6,5.82
solenzo,0.0,BF,1549254991.0,37.0,12.18,-4.08,66.68,9.64
araouane,0.0,ML,1549254991.0,26.0,18.9,-3.53,55.25,14.23
vestmanna,0.0,FO,1549252200.0,86.0,62.16,-7.17,33.8,12.75
sonoita,75.0,US,1549252680.0,79.0,31.68,-110.66,57.92,9.17
maturin,0.0,VE,1549254992.0,69.0,9.75,-63.18,76.18,5.5
nuevo celilac,,,,,,,,
wawa,12.0,NG,1549254993.0,77.0,9.9,4.41,68.26,1.14
champerico,5.0,MX,1549252560.0,78.0,16.38,-93.6,73.4,3.36
atlantic city,,,,,,,,
grand island,90.0,US,1549253700.0,100.0,40.92,-98.34,28.04,20.8
puerto colombia,0.0,CO,1549252800.0,78.0,10.99,-74.96,78.8,18.34
college,90.0,US,1549252680.0,84.0,64.86,-147.8,10.04,4.61
saint george,20.0,GR,1549254000.0,93.0,39.45,22.34,48.2,2.93
stornoway,,,,,,,,
marshall,1.0,US,1549252500.0,93.0,39.39,-87.69,51.08,5.82
saint john,90.0,CA,1549252800.0,73.0,45.28,-66.06,19.4,2.24
santa cruz,90.0,US,1549252620.0,82.0,36.97,-122.03,53.6,10.29
aklavik,90.0,CA,1549252800.0,64.0,68.22,-135.01,-2.21,6.93
homer,90.0,US,1549252380.0,85.0,59.64,-151.54,35.96,4.7
makakilo city,1.0,US,1549252620.0,66.0,21.35,-158.09,75.92,8.05
inuvik,90.0,CA,1549252800.0,64.0,68.36,-133.71,-2.21,6.93
praia,48.0,BR,1549254998.0,91.0,-20.25,-43.81,65.65,2.93
totness,1.0,US,1549254900.0,100.0,33.74,-80.8,46.04,3.36
campeche,5.0,MX,1549251960.0,88.0,19.84,-90.54,73.4,8.75
acajutla,0.0,SV,1549254998.0,89.0,13.59,-89.83,69.43,4.05
the valley,20.0,AI,1549252800.0,73.0,18.22,-63.06,77.0,9.17
sorvag,,,,,,,,
santa maria,0.0,BR,1549255000.0,76.0,-29.69,-53.81,62.59,9.64
yaguajay,0.0,CU,1549255001.0,90.0,22.33,-79.24,61.28,3.49
steamboat springs,90.0,US,1549253700.0,100.0,40.48,-106.83,33.98,10.29
bubaque,0.0,GW,1549255001.0,100.0,11.28,-15.83,75.28,11.43
guerrero negro,100.0,MX,1549255002.0,100.0,27.97,-114.04,58.09,5.17
zafra,0.0,ES,1549255002.0,74.0,38.43,-6.42,23.26,2.59
iqaluit,90.0,CA,1549253760.0,77.0,63.75,-68.52,-0.41,4.5
santander,40.0,PH,1549252800.0,74.0,9.42,123.33,84.2,11.41
dingle,0.0,PH,1549255003.0,53.0,11.0,122.67,86.98,16.69
crab hill,,,,,,,,
ilulissat,0.0,GL,1549252200.0,37.0,69.22,-51.1,17.6,4.7
parrita,0.0,CR,1549252800.0,68.0,9.52,-84.33,69.8,12.75
martinsville,1.0,US,1549254300.0,91.0,36.69,-79.87,44.06,1.48
oussouye,64.0,SN,1549252800.0,82.0,12.49,-16.54,66.2,2.24
pedernales,92.0,EC,1549255005.0,100.0,0.07,-80.05,72.85,3.04
itarema,92.0,BR,1549255005.0,96.0,-2.92,-39.92,74.6,2.71
raymond,90.0,US,1549252560.0,75.0,43.04,-71.18,37.04,6.93
la ronge,90.0,CA,1549252800.0,74.0,55.1,-105.3,-25.61,2.24
palmer,90.0,US,1549252680.0,84.0,61.6,-149.11,21.92,11.41
nizhneyansk,,,,,,,,
airai,64.0,TL,1549255007.0,72.0,-8.93,125.41,80.14,2.15
atyrau,75.0,KZ,1549252800.0,92.0,47.1,51.92,5.0,6.71
qui nhon,,,,,,,,
belushya guba,,,,,,,,
warqla,,,,,,,,
aswan,0.0,EG,1549254733.0,95.0,24.09,32.9,51.07,2.71
kulhudhuffushi,76.0,MV,1549255008.0,100.0,6.62,73.07,82.03,13.44
haibowan,,,,,,,,
barbar,,,,,,,,
abnub,0.0,EG,1549249200.0,81.0,27.27,31.15,48.2,5.82
tumannyy,,,,,,,,
kushiro,40.0,JP,1549252800.0,69.0,43.11,144.15,39.2,13.87
urusha,20.0,RU,1549255010.0,22.0,54.05,122.9,-15.72,7.63
tsagan aman,0.0,RU,1549255010.0,72.0,47.57,46.72,9.35,3.04
sorland,88.0,NO,1549255011.0,100.0,67.67,12.69,27.76,20.27
taiyuan,0.0,CN,1549252800.0,18.0,37.86,112.56,42.8,8.95
iranshahr,40.0,IR,1549252800.0,87.0,27.21,60.69,60.8,12.1
bochum,0.0,DE,1549254000.0,90.0,51.48,7.22,32.0,8.05
nishihara,20.0,JP,1549252980.0,28.0,35.74,139.53,68.0,11.41
dikson,8.0,RU,1549255012.0,73.0,73.51,80.55,-9.96,8.97
umm durman,,,,,,,,
bandarbeyla,0.0,SO,1549255013.0,100.0,9.49,50.81,77.53,14.0
ust-maya,64.0,RU,1549255014.0,37.0,60.42,134.54,-25.08,4.5
churapcha,76.0,RU,1549255014.0,39.0,62.0,132.43,-26.07,4.72
hami,64.0,CN,1549255015.0,92.0,42.84,93.51,22.67,4.16
sentyabrskiy,,,,,,,,
saskylakh,68.0,RU,1549255015.0,72.0,71.97,114.09,-10.5,16.24
rawannawi,,,,,,,,
zhangjiakou,68.0,CN,1549255016.0,33.0,40.77,114.88,33.7,13.67
odweyne,,,,,,,,
cherskiy,0.0,RU,1549255016.0,56.0,68.75,161.3,-19.41,6.06
kavieng,88.0,PG,1549255016.0,100.0,-2.57,150.8,80.63,7.52
balaipungut,36.0,ID,1549255017.0,93.0,1.11,101.31,84.23,3.15
pevek,24.0,RU,1549255017.0,97.0,69.7,170.27,-16.71,11.1
nikolskoye,90.0,RU,1549252800.0,86.0,59.7,30.79,33.8,2.24
fukue,40.0,JP,1549252800.0,44.0,35.03,136.69,59.0,26.4
longyearbyen,75.0,NO,1549252200.0,68.0,78.22,15.63,26.6,8.05
palauig,24.0,PH,1549255018.0,64.0,15.44,119.9,86.26,1.92
marsabit,0.0,KE,1549255019.0,73.0,2.34,37.99,76.45,5.95
romny,92.0,UA,1549255019.0,95.0,50.74,33.49,34.78,12.66
babstovo,0.0,RU,1549255019.0,43.0,48.12,132.48,-0.15,13.22
turukhansk,0.0,RU,1549255019.0,0.0,65.8,87.96,-38.85,3.04
deputatskiy,8.0,RU,1549255020.0,0.0,69.3,139.9,-47.94,3.49
butaritari,56.0,KI,1549255020.0,100.0,3.07,172.79,84.05,19.26
zlobin,20.0,HR,1549252800.0,49.0,45.29,14.65,46.4,24.16
yerbogachen,8.0,RU,1549254776.0,65.0,61.28,108.01,-35.34,3.6
yamada,75.0,JP,1549252800.0,81.0,36.58,137.08,46.4,11.41
hambantota,75.0,LK,1549249800.0,83.0,6.12,81.12,82.4,10.29
erzin,0.0,TR,1549254000.0,80.0,36.95,36.2,42.8,4.38
shingu,20.0,JP,1549252800.0,54.0,33.72,135.99,59.0,21.92
severo-kurilsk,56.0,RU,1549255022.0,100.0,50.68,156.12,26.59,5.61
tibati,0.0,CM,1549255022.0,38.0,6.47,12.63,66.1,7.52
tabarqah,,,,,,,,
kashi,,,,,,,,
tazovskiy,32.0,RU,1549255023.0,58.0,67.47,78.7,-11.4,11.99
leningradskiy,68.0,RU,1549255023.0,80.0,69.38,178.42,-4.56,15.57
amboise,56.0,FR,1549252800.0,100.0,47.41,0.98,28.4,4.7
kudahuvadhoo,64.0,MV,1549255024.0,100.0,2.67,72.89,82.25,15.57
vitim,0.0,RU,1549255024.0,41.0,59.44,112.57,-26.97,3.15
nirasaki,20.0,JP,1549252800.0,36.0,35.72,138.41,48.2,23.04
trat,40.0,TH,1549252800.0,74.0,12.25,102.51,86.0,4.7
vastervik,,,,,,,,
chenghai,75.0,CN,1549252800.0,82.0,23.46,116.77,66.2,13.42
gidole,0.0,ET,1549255026.0,39.0,5.65,37.37,72.62,3.04
kuryk,44.0,KZ,1549255026.0,100.0,43.18,51.68,30.91,9.08
bafang,0.0,CM,1549255026.0,83.0,5.16,10.18,54.22,2.59
tiksi,20.0,RU,1549255026.0,59.0,71.64,128.87,-33.4,3.38
chara,20.0,GR,1549254000.0,93.0,39.42,22.43,48.2,2.93
bunia,8.0,CD,1549255027.0,68.0,1.56,30.25,74.11,1.48
amderma,,,,,,,,
aldan,56.0,RU,1549255028.0,48.0,58.61,125.39,-30.66,5.5
sistranda,75.0,NO,1549252200.0,92.0,63.73,8.83,24.8,14.99
jati,0.0,PK,1549255028.0,53.0,24.35,68.27,69.38,13.22
lithakia,20.0,GR,1549254000.0,76.0,37.72,20.83,48.2,4.7
kamenskoye,,,,,,,,
karamay,,,,,,,,
malpe,0.0,IN,1549252800.0,65.0,13.35,74.72,78.8,9.17
paracelis,36.0,PH,1549255030.0,70.0,17.18,121.4,76.36,1.7
ankang,0.0,CN,1549255030.0,66.0,32.73,108.99,43.55,2.59
crotone,90.0,IT,1549252500.0,100.0,39.09,17.12,33.8,9.17
bilma,0.0,NE,1549255030.0,44.0,18.69,12.92,50.12,4.05
khatanga,64.0,RU,1549255031.0,74.0,71.98,102.47,-10.59,8.08
port blair,0.0,IN,1549255031.0,97.0,11.67,92.75,83.65,13.44
ostrovnoy,48.0,RU,1549255031.0,90.0,68.05,39.51,-6.9,12.55
ekhabi,36.0,RU,1549255031.0,93.0,53.51,142.97,-4.47,12.77
horni plana,75.0,CZ,1549254000.0,94.0,48.77,14.03,32.0,11.41
orsha,90.0,BY,1549252800.0,100.0,54.51,30.43,33.8,11.18
noshiro,75.0,JP,1549252800.0,74.0,40.21,140.05,35.6,20.8
podbelsk,,,,,,,,
okhotsk,56.0,RU,1549255033.0,97.0,59.36,143.24,9.35,3.15
turan,36.0,RU,1549255033.0,50.0,52.15,93.92,-5.95,2.59
skjervoy,8.0,NO,1549255033.0,100.0,70.03,20.97,16.55,22.73
ajdabiya,0.0,LY,1549255034.0,38.0,30.75,20.22,52.42,11.43
havoysund,0.0,NO,1549254000.0,61.0,71.0,24.66,15.8,16.11
svetlaya,0.0,RU,1549255034.0,100.0,46.54,138.33,14.03,26.08
yuancheng,,,,,,,,
surt,8.0,LY,1549255035.0,100.0,31.21,16.59,54.53,16.13
mujiayingzi,0.0,CN,1549255035.0,28.0,42.12,118.78,28.52,14.23
bargal,,,,,,,,
kolyvan,20.0,RU,1549252800.0,65.0,55.31,82.74,-34.61,6.71
mao,20.0,DO,1549252800.0,83.0,19.55,-71.08,73.4,5.82
katsuura,20.0,JP,1549252800.0,44.0,33.93,134.5,59.0,17.22
ust-kamchatsk,,,,,,,,
siverek,0.0,TR,1549254000.0,74.0,37.75,39.32,35.6,8.05
pervomayskiy,92.0,RU,1549255037.0,99.0,53.24,40.29,32.62,9.98
lagos,20.0,NG,1549252800.0,94.0,6.46,3.39,78.8,2.24
mega,0.0,ET,1549255038.0,36.0,4.06,38.32,71.86,7.52
alihe,8.0,CN,1549255038.0,44.0,50.57,123.73,-8.07,7.96
birjand,90.0,IR,1549252800.0,100.0,32.86,59.22,37.4,4.7
perpignan,0.0,FR,1549252800.0,52.0,42.7,2.88,41.0,23.04
pavlodar,0.0,KZ,1549252800.0,74.0,52.28,76.96,-22.01,8.95
ozgon,,,,,,,,
jinka,0.0,ET,1549255039.0,36.0,5.79,36.57,71.9,2.15
luba,24.0,PH,1549255040.0,51.0,17.32,120.7,85.45,5.5
almaznyy,90.0,RU,1549252800.0,100.0,48.03,40.04,28.4,11.18
seoul,0.0,KR,1549252800.0,22.0,37.57,126.98,37.76,6.93
tateyama,75.0,JP,1549252800.0,81.0,36.66,137.31,46.4,11.41
nushki,80.0,PK,1549255041.0,86.0,29.55,66.02,48.95,5.73
chunskiy,20.0,RU,1549255041.0,33.0,56.08,99.63,-23.1,4.94
yar-sale,56.0,RU,1549255041.0,79.0,66.83,70.83,-17.38,13.22
tilichiki,80.0,RU,1549255042.0,84.0,60.47,166.1,13.63,3.71
banda aceh,56.0,ID,1549255042.0,89.0,5.56,95.32,81.94,3.49
janovice nad uhlavou,90.0,CZ,1549252800.0,100.0,49.35,13.22,28.4,4.7
shestakovo,20.0,RU,1549255043.0,40.0,56.49,103.96,-26.92,3.49
qingdao,40.0,CN,1549252800.0,60.0,36.09,120.35,42.8,13.42
korla,,,,,,,,
malwan,,,,,,,,
blagoyevo,36.0,RU,1549255044.0,63.0,63.37,47.92,-7.71,7.96
bandarban,0.0,BD,1549252800.0,47.0,22.2,92.22,75.2,5.82
darovskoy,80.0,RU,1549254966.0,81.0,58.77,47.96,-1.41,14.79
chuzhou,64.0,CN,1549254836.0,63.0,32.25,118.33,47.15,7.74
aflu,,,,,,,,
anshun,32.0,CN,1549255045.0,71.0,26.25,105.93,47.92,8.75
xinye,0.0,CN,1549255046.0,62.0,32.53,112.36,54.31,5.5
khromtau,0.0,KZ,1549255046.0,58.0,50.26,58.44,1.84,3.71
bikin,36.0,RU,1549255046.0,39.0,46.82,134.25,2.15,12.21
izhevskoye,92.0,RU,1549255047.0,98.0,54.56,40.87,33.7,9.53
pansemal,8.0,IN,1549255047.0,48.0,21.66,74.7,81.13,5.95
bireun,44.0,ID,1549255047.0,100.0,5.2,96.7,79.6,6.4
mecca,0.0,SA,1549254864.0,55.0,21.43,39.83,69.65,4.5
vostok,32.0,RU,1549255048.0,47.0,46.45,135.83,-3.25,9.53
korem,0.0,ET,1549255048.0,38.0,12.51,39.52,61.78,1.7
stokmarknes,0.0,NO,1549252200.0,49.0,68.56,14.91,28.4,10.29
pop,76.0,UZ,1549252800.0,60.0,40.87,71.1,39.2,4.7
shahrud,36.0,IR,1549255049.0,92.0,36.42,54.97,26.05,9.42
goteborg,,,,,,,,
salalah,75.0,OM,1549252200.0,64.0,17.01,54.1,75.2,4.7
chokurdakh,20.0,RU,1549255050.0,58.0,70.62,147.9,-32.91,10.2
linjiang,0.0,CN,1549255050.0,55.0,41.81,126.91,10.7,5.61
abu zabad,0.0,SD,1549255050.0,37.0,12.35,29.25,70.33,10.76
grimari,,,,,,,,
goure,0.0,NE,1549255051.0,54.0,13.98,10.27,57.77,2.71
malasila,75.0,PH,1549252800.0,83.0,6.94,125.13,80.6,8.05
berlevag,20.0,NO,1549252200.0,72.0,70.86,29.09,12.2,14.99
beringovskiy,64.0,RU,1549255052.0,86.0,63.05,179.32,29.11,17.69
libreville,20.0,GA,1549252800.0,94.0,0.39,9.45,75.2,4.7
fort-shevchenko,64.0,KZ,1549255052.0,100.0,44.51,50.26,27.17,8.97
sarankhola,0.0,BD,1549255053.0,44.0,22.31,89.79,82.3,8.19
mehamn,20.0,NO,1549254000.0,72.0,71.03,27.85,15.8,14.99
betare oya,0.0,CM,1549255053.0,83.0,5.6,14.08,64.43,2.48
rorvik,8.0,NO,1549254954.0,100.0,64.86,11.24,12.5,11.65
kutum,0.0,SD,1549255054.0,44.0,14.2,24.66,61.15,9.64
sarakhs,90.0,TM,1549252800.0,100.0,36.54,61.16,39.2,27.51
leh,76.0,IN,1549255055.0,82.0,34.16,77.58,-7.26,1.14
tasbuget,,,,,,,,
batsfjord,40.0,NO,1549252200.0,78.0,70.63,29.72,10.4,18.34
shugurovo,80.0,RU,1549255055.0,86.0,54.51,52.13,13.85,4.5
palana,80.0,RU,1549255056.0,68.0,59.08,159.95,9.13,4.16
bac lieu,,,,,,,,
leshukonskoye,56.0,RU,1549255056.0,66.0,64.9,45.76,-3.66,8.08
hecun,56.0,CN,1549255057.0,67.0,29.94,119.31,47.65,6.62
ust-ishim,8.0,RU,1549255057.0,37.0,57.69,71.17,-24.22,5.61
kungurtug,32.0,RU,1549255058.0,39.0,50.6,97.53,-9.1,8.52
toktogul,32.0,KG,1549255058.0,81.0,41.87,72.95,19.97,2.15
petropavlovsk-kamchatskiy,0.0,RU,1549252800.0,46.0,53.05,158.65,28.4,13.42
gorno-chuyskiy,,,,,,,,
balad,8.0,ID,1549255059.0,100.0,-6.76,108.42,81.31,11.21
karpogory,56.0,RU,1549255059.0,65.0,64.0,44.44,0.31,8.41
vikhorevka,20.0,RU,1549252800.0,65.0,56.12,101.17,-34.61,4.47
sheopur,0.0,IN,1549255059.0,73.0,25.67,76.7,68.62,4.5
sibu,75.0,MY,1549252800.0,79.0,2.29,111.83,84.2,3.36
mglin,92.0,RU,1549255060.0,96.0,53.06,32.85,35.63,11.99
talaya,0.0,RU,1549252800.0,64.0,55.79,84.89,-41.81,5.39
bogo,8.0,CM,1549255061.0,30.0,10.74,14.61,71.45,9.75
mishan,0.0,CN,1549255061.0,23.0,45.55,131.88,7.24,17.13
eyl,100.0,SO,1549255061.0,92.0,7.98,49.82,76.0,15.46
baykit,48.0,RU,1549255062.0,49.0,61.68,96.39,-30.52,3.49
hasaki,20.0,JP,1549253220.0,100.0,35.73,140.83,66.2,18.34
svetlyy,,,,,,,,
talaja,0.0,IN,1549255062.0,56.0,21.35,72.04,79.55,6.4
arbon,90.0,CH,1549254000.0,100.0,47.51,9.43,28.4,2.24
batagay-alyta,12.0,RU,1549255063.0,67.0,67.8,130.41,-37.05,2.71
mae ramat,0.0,TH,1549252800.0,54.0,16.98,98.52,80.6,2.24
kalanchak,20.0,UA,1549255064.0,85.0,46.26,33.28,38.15,4.38
marzuq,0.0,YE,1549255064.0,33.0,14.4,46.47,67.18,3.15
udachnyy,20.0,RU,1549255064.0,68.0,66.42,112.4,-15.72,6.51
gerash,40.0,IR,1549252800.0,93.0,27.67,54.14,44.6,4.7
jalu,64.0,LY,1549255065.0,33.0,29.03,21.55,54.04,13.11
isfana,75.0,KG,1549252800.0,88.0,39.84,69.53,42.8,11.18
achisay,,,,,,,,
sabha,0.0,LY,1549255067.0,53.0,27.03,14.43,41.53,8.19
melfi,75.0,IT,1549252500.0,93.0,41.0,15.66,41.0,9.17
zunyi,48.0,CN,1549255068.0,92.0,27.73,106.92,44.59,4.72
agadez,0.0,NE,1549255068.0,41.0,16.97,7.99,49.72,2.71
tettnang,48.0,DE,1549254000.0,100.0,47.67,9.59,28.4,2.24
qandala,0.0,SO,1549255068.0,73.0,11.47,49.87,72.08,3.38
likhoslavl,92.0,RU,1549255069.0,96.0,57.12,35.47,34.42,7.63
abu kamal,0.0,SY,1549255069.0,54.0,34.45,40.92,41.48,2.59
erzurum,90.0,TR,1549254000.0,84.0,39.91,41.27,-2.21,1.12
yumen,0.0,CN,1549255070.0,77.0,40.29,97.04,24.07,16.69
nemuro,75.0,JP,1549252800.0,86.0,43.32,145.57,33.8,6.93
idil,0.0,TR,1549255070.0,79.0,37.34,41.89,34.15,2.93
megion,20.0,RU,1549252800.0,73.0,61.04,76.11,-36.41,4.47
tazmalt,75.0,DZ,1549252800.0,93.0,36.39,4.4,41.0,11.41
itoman,75.0,JP,1549252800.0,73.0,26.12,127.67,71.06,10.29
nyurba,56.0,RU,1549255071.0,47.0,63.29,118.35,-29.04,5.73
tashtagol,8.0,RU,1549255072.0,68.0,52.76,87.85,-5.82,3.04
bamnet narong,0.0,TH,1549255072.0,37.0,15.5,101.69,96.07,3.04
evensk,64.0,RU,1549255072.0,100.0,61.92,159.24,5.89,14.0
